Country (or dependency),Population  (2023),Yearly  Change %,Net  Change,Land Area  (Km²),Fertility Rate,Median Age,World  Share %
Sint Maarten,44222,0.11,47,34,1.6,48.0,0.0
American Samoa,43914,-0.8099999999999999,-359,200,2.2,29.0,0.0
Marshall Islands,41996,1.03,427,180,2.6,26.0,0.0
Liechtenstein,39584,0.65,257,160,1.5,44.0,0.0
Monaco,36297,-0.47000000000000003,-172,1,2.1,54.0,0.0
San Marino,33642,-0.05,-18,60,1.1,47.0,0.0
Gibraltar,32688,0.12,39,10,1.8,42.0,0.0
Saint Martin,32077,0.8999999999999999,286,53,2.4,39.0,0.0
British Virgin Islands,31538,0.74,233,150,1.0,39.0,0.0
Caribbean Netherlands,27148,0.44999999999999996,122,328,1.6,40.0,0.0
Palau,18058,0.02,3,460,2.3,36.0,0.0
Cook Islands,17044,0.19,33,240,2.2,33.0,0.0
Anguilla,15899,0.26,42,90,1.3,38.0,0.0
Nauru,12780,0.88,112,20,3.4,20.0,0.0
Wallis & Futuna,11502,-0.6,-70,140,1.9,37.0,0.0
Tuvalu,11396,0.74,84,30,3.1,25.0,0.0
Saint Barthelemy,10994,0.25,27,21,1.0,40.0,0.0
Saint Pierre & Miquelon,5840,-0.38,-22,230,1.6,44.0,0.0
Saint Helena,5314,-1.1199999999999999,-60,390,1.6,53.0,0.0
Montserrat,4386,-0.09,-4,100,1.6,44.0,0.0
Falkland Islands,3791,0.29,11,12170,1.6,40.0,0.0
Niue,1935,0.05,1,260,2.4,36.0,0.0
Tokelau,1893,1.18,22,10,2.6,27.0,0.0
Holy See,518,1.5699999999999998,8,0,,,0.0
